#call,Hz,unix,mode,grid,lat,lng,park,org
M1RTB,145450000,1769854871,FM,IO83jd,53.13131,-3.24971,GW/NW-051,SOTA
M7JCZ,14247000,1769855632,SSB,IO82QT,52.8043,-2.65242,GB-6326,POTA
M7SLS,14074000,1769854595,FT8,IO93FQ,53.6725,-1.57556,GB-4779,POTA
M8JJS,14280000,1769855616,SSB,IO93JF,53.2285,-1.21505,GB-0674,POTA
M9OUD/P,145425000,1769853720,FM,IO84tf,54.22895,-2.40198,G/NP-004,SOTA
MM7TKU,14249000,1769855125,SSB,IO76EV,56.8759,-5.66037,GB-1987,POTA
OE1YLS/P,145550000,1769854571,FM,JN66vu,46.85280,13.81580,OE/KT-052,SOTA
OE3BIY,14337000,1769855640,SSB,JN87BV,47.8888,16.1104,AT-0265,POTA
OE3KME,14022000,1769854455,CW,JN78bw,48.92560,14.12020,OK/JC-129,SOTA
OE5FWR/P,144300000,1769852361,SSB,JN78ch,48.29440,14.22140,OE/OO-135,SOTA
OE5GFI/P,145500000,1769855586,FM,JN77fq,47.69650,14.48820,OE/OO-243,SOTA
OE5HKT/P,144300000,1769854520,SSB,JN77cv,47.88737,14.19438,OE/OO-452,SOTA
OE6BAU/P,145525000,1769854765,FM,JN77qh,47.33330,15.40670,OE/ST-230,SOTA
OE6BAU/P,145550000,1769854443,FM,JN77qh,47.33330,15.40670,OE/ST-230,SOTA
OE6WPF/P,145550000,1769854423,FM,JN77qh,47.33330,15.40670,OE/ST-230,SOTA
OH8NW/P,14048000,1769855487,CW,KP10BM,60.5368,22.147,FI-1430,POTA
OH8NW/P,7027000,1769852640,CW,KP10bm,60.53910065,22.14841080,OHFF-0233,WWFF
OK/SQ9MDN/P,145500000,1769853269,FM,JO70ur,50.73590,15.73980,OK/KR-001,SOTA
OK1CZ/P,10122000,1769854928,CW,JO70or,50.71180,15.23300,OK/LI-014,SOTA
OK1CZ/P,14062000,1769854340,CW,JO70or,50.71180,15.23300,OK/LI-014,SOTA
OO7Z/P,14061000,1769854568,CW,JO21LA,51.0291,4.98955,BE-0088,POTA
RX9WT/P,14061000,1769855521,CW,LO83uh,53.32830,57.69010,R9U/SO-124,SOTA
SN9MT,10113000,1769855534,CW,JO80WO,50.5977,17.8604,PL-1533,POTA
SP9GKS/P,145550000,1769855287,FM,JN99on,49.56080,19.24190,SP/BZ-003,SOTA
SP9MIV,7098000,1769854616,SSB,JO90LH,50.3308,18.9543,PL-1285,POTA
SQ2RBY/P,10136000,1769855352,FT8,JO93FJ,53.4053,18.4611,PL-1408,POTA
TA3JOH,21344000,1769855196,SSB,LM17FM,37.5073,42.4877,TR-0422,POTA
TA3JOH,21044000,1769854800,CW,LM17fm,37.50915909,42.48551178,TAFF-0173,WWFF
TA3JOH,21344000,1769852580,CW,LM17fm,37.50915909,42.48551178,TAFF-0173,WWFF
TA4YMA,14298000,1769855100,SSB,KM47nw,37.92411041,29.12335968,TAFF-0078,WWFF
VK3PF,3644000,1769854830,SSB,QF31KL,-38.5198,146.876,AU-5964,POTA
VK3PF,3500000,1769854800,CW,QF31kl,-38.51979828,146.87609863,VKFF-6125,WWFF
VK3PF,3644000,1769853696,SSB,QF31kl,-38.51980,146.87610,VKFF-6125,WWFF
VK3PF,7032000,1769853180,CW,QF31kl,-38.51979828,146.87609863,VKFF-6125,WWFF
Z35M,14043000,1769855686,CW,KN01RX,41.9748,21.4482,MK-0099,POTA
Z35M,21041100,1769854680,CW,KN01rx,41.97480011,21.44820023,Z3FF-0107,WWFF
Z35M,18083000,1769854680,CW,KN01rx,41.97480011,21.44820023,Z3FF-0107,WWFF
Z35M,21032400,1769854260,CW,KN01rx,41.97480011,21.44820023,Z3FF-0107,WWFF
Z35M,21041000,1769854260,CW,KN01rx,41.97480011,21.44820023,Z3FF-0107,WWFF
Z35M,28033000,1769853600,CW,KN01rx,41.97480011,21.44820023,Z3FF-0107,WWFF
Z35M,24903300,1769852580,CW,KN01rx,41.97480011,21.44820023,Z3FF-0107,WWFF
